Primary County Coordinates;County;City;Year;Estimate
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2017;154.0
(41.3307464, -94.4709413);Adair;CASEY;2017;8.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2017;1809.0
(41.3307464, -94.4709413);Adair;ORIENT;2017;374.0
(41.3307464, -94.4709413);Adair;ADAIR;2017;686.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2017;610.0
(41.3307464, -94.4709413);Adair;STUART;2017;715.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2017;2698.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2016;153.0
(41.3307464, -94.4709413);Adair;ORIENT;2016;369.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2016;608.0
(41.3307464, -94.4709413);Adair;CASEY;2016;8.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2016;1800.0
(41.3307464, -94.4709413);Adair;ADAIR;2016;681.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2016;2683.0
(41.3307464, -94.4709413);Adair;STUART;2016;708.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2015;2761.0
(41.3307464, -94.4709413);Adair;CASEY;2015;8.0
(41.3307464, -94.4709413);Adair;STUART;2015;648.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2015;634.0
(41.3307464, -94.4709413);Adair;ADAIR;2015;703.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2015;159.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2015;1848.0
(41.3307464, -94.4709413);Adair;ORIENT;2015;380.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2014;649.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2014;171.0
(41.3307464, -94.4709413);Adair;ORIENT;2014;394.0
(41.3307464, -94.4709413);Adair;ADAIR;2014;724.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2014;2842.0
(41.3307464, -94.4709413);Adair;STUART;2014;674.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2014;1905.0
(41.3307464, -94.4709413);Adair;CASEY;2014;8.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2013;648.0
(41.3307464, -94.4709413);Adair;STUART;2013;680.0
(41.3307464, -94.4709413);Adair;ORIENT;2013;392.0
(41.3307464, -94.4709413);Adair;ADAIR;2013;727.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2013;2849.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2013;1908.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2013;175.0
(41.3307464, -94.4709413);Adair;CASEY;2013;8.0
(41.3307464, -94.4709413);Adair;STUART;2012;683.0
(41.3307464, -94.4709413);Adair;ORIENT;2012;395.0
(41.3307464, -94.4709413);Adair;CASEY;2012;10.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2012;1926.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2012;658.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2012;177.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2012;2884.0
(41.3307464, -94.4709413);Adair;ADAIR;2012;735.0
(41.3307464, -94.4709413);Adair;STUART;2011;691.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2011;1942.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2011;179.0
(41.3307464, -94.4709413);Adair;ADAIR;2011;748.0
(41.3307464, -94.4709413);Adair;CASEY;2011;10.0
(41.3307464, -94.4709413);Adair;ORIENT;2011;401.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2011;660.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2011;2914.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2010;182.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2010;1980.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2010;2966.0
(41.3307464, -94.4709413);Adair;CASEY;2010;10.0
(41.3307464, -94.4709413);Adair;ORIENT;2010;408.0
(41.3307464, -94.4709413);Adair;ADAIR;2010;762.0
(41.3307464, -94.4709413);Adair;STUART;2010;699.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2010;672.0
(41.3307464, -94.4709413);Adair;STUART;2010;699.0
(41.3307464, -94.4709413);Adair;FONTANELLE;2010;672.0
(41.3307464, -94.4709413);Adair;GREENFIELD;2010;1982.0
(41.3307464, -94.4709413);Adair;CASEY;2010;10.0
(41.3307464, -94.4709413);Adair;BRIDGEWATER;2010;182.0
(41.3307464, -94.4709413);Adair;ORIENT;2010;408.0
(41.3307464, -94.4709413);Adair;ADAIR;2010;762.0
(41.3307464, -94.4709413);Adair;BALANCE OF ADAIR COUNTY;2010;2967.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2017;1836.0
(41.0289839, -94.6991849);Adams;CARBON;2017;31.0
(41.0289839, -94.6991849);Adams;CORNING;2017;1475.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2017;238.0
(41.0289839, -94.6991849);Adams;LENOX;2017;1.0
(41.0289839, -94.6991849);Adams;NODAWAY;2017;105.0
(41.0289839, -94.6991849);Adams;CORNING;2016;1486.0
(41.0289839, -94.6991849);Adams;LENOX;2016;0.0
(41.0289839, -94.6991849);Adams;CARBON;2016;31.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2016;1851.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2016;242.0
(41.0289839, -94.6991849);Adams;NODAWAY;2016;106.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2015;244.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2015;1866.0
(41.0289839, -94.6991849);Adams;LENOX;2015;0.0
(41.0289839, -94.6991849);Adams;CARBON;2015;32.0
(41.0289839, -94.6991849);Adams;CORNING;2015;1504.0
(41.0289839, -94.6991849);Adams;NODAWAY;2015;107.0
(41.0289839, -94.6991849);Adams;NODAWAY;2014;110.0
(41.0289839, -94.6991849);Adams;LENOX;2014;0.0
(41.0289839, -94.6991849);Adams;CORNING;2014;1563.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2014;251.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2014;1921.0
(41.0289839, -94.6991849);Adams;CARBON;2014;33.0
(41.0289839, -94.6991849);Adams;CARBON;2013;33.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2013;249.0
(41.0289839, -94.6991849);Adams;LENOX;2013;0.0
(41.0289839, -94.6991849);Adams;NODAWAY;2013;110.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2013;1931.0
(41.0289839, -94.6991849);Adams;CORNING;2013;1569.0
(41.0289839, -94.6991849);Adams;CORNING;2012;1584.0
(41.0289839, -94.6991849);Adams;CARBON;2012;33.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2012;249.0
(41.0289839, -94.6991849);Adams;LENOX;2012;0.0
(41.0289839, -94.6991849);Adams;NODAWAY;2012;110.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2012;1933.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2011;1974.0
(41.0289839, -94.6991849);Adams;LENOX;2011;0.0
(41.0289839, -94.6991849);Adams;NODAWAY;2011;113.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2011;255.0
(41.0289839, -94.6991849);Adams;CORNING;2011;1618.0
(41.0289839, -94.6991849);Adams;CARBON;2011;34.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2010;256.0
(41.0289839, -94.6991849);Adams;CORNING;2010;1634.0
(41.0289839, -94.6991849);Adams;LENOX;2010;0.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2010;1985.0
(41.0289839, -94.6991849);Adams;CARBON;2010;34.0
(41.0289839, -94.6991849);Adams;NODAWAY;2010;114.0
(41.0289839, -94.6991849);Adams;CORNING;2010;1635.0
(41.0289839, -94.6991849);Adams;CARBON;2010;34.0
(41.0289839, -94.6991849);Adams;BALANCE OF ADAMS COUNTY;2010;1989.0
(41.0289839, -94.6991849);Adams;NODAWAY;2010;114.0
(41.0289839, -94.6991849);Adams;PRESCOTT;2010;257.0
(41.0289839, -94.6991849);Adams;LENOX;2010;0.0
(43.2842838, -91.3780923);Allamakee;LANSING;2017;941.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2017;141.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2017;510.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2017;3697.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2017;6442.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2017;321.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2017;1832.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2016;6404.0
(43.2842838, -91.3780923);Allamakee;LANSING;2016;942.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2016;3708.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2016;512.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2016;142.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2016;321.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2016;1840.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2015;321.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2015;504.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2015;3714.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2015;140.0
(43.2842838, -91.3780923);Allamakee;LANSING;2015;955.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2015;6376.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2015;1842.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2014;142.0
(43.2842838, -91.3780923);Allamakee;LANSING;2014;970.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2014;325.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2014;511.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2014;6444.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2014;3769.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2014;1883.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2013;517.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2013;1891.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2013;143.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2013;326.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2013;6378.0
