County;Year;Population;Primary County Coordinates
Fremont;2017;6948;(40.7455892, -95.6046765)
Hamilton;2017;15115;(42.3837722, -93.7068085)
Fayette;2017;19796;(42.8625919, -91.8443207)
Poweshiek;2017;18314;(41.6864422, -92.5314684)
Clayton;2017;17637;(42.8447493, -91.3414328)
Buchanan;2017;21202;(42.4707777, -91.8378392)
Jasper;2017;36966;(41.6860394, -93.053765)
Cherokee;2017;11316;(42.7356226, -95.6238055)
Lyon;2017;11792;(43.380497, -96.2102924)
Muscatine;2017;42880;(41.4839221, -91.1127562)
Floyd;2017;15744;(43.0599208, -92.7890033)
Kossuth;2017;14999;(43.20413, -94.2067199)
Allamakee;2017;13884;(43.2842838, -91.3780923)
Decatur;2017;7950;(40.7376827, -93.7862815)
Worth;2017;7469;(43.3773984, -93.2608476)
Wright;2017;12784;(42.7331189, -93.7351465)
Winnebago;2017;10587;(43.3775678, -93.7341955)
Clarke;2017;9374;(41.0290323, -93.7851579)
Tama;2017;17058;(42.0798117, -92.5325425)
Hardin;2017;17048;(42.3838803, -93.2404025)
Monroe;2017;7845;(41.0297826, -92.8689877)
Chickasaw;2017;12005;(43.0600414, -92.3176637)
Emmet;2017;9432;(43.3780225, -94.6784803)
Wapello;2017;35044;(41.0305845, -92.4094499)
Humboldt;2017;9564;(42.7764686, -94.2071868)
Madison;2017;16013;(41.3307142, -94.0155619)
Clinton;2017;47010;(41.8980358, -90.5319724)
Louisa;2017;11184;(41.2185073, -91.2596184)
Jackson;2017;19366;(42.1717426, -90.5742294)
Taylor;2017;6178;(40.7374324, -94.6964148)
Cass;2017;13145;(41.3314876, -94.9278266)
Calhoun;2017;9746;(42.3851848, -94.6404136)
Sioux;2017;34860;(43.0826174, -96.1778827)
Iowa;2017;16103;(41.6863229, -92.065524)
Audubon;2017;5578;(41.6845893, -94.9058222)
Boone;2017;26484;(42.0365493, -93.931671)
Story;2017;97502;(42.0362415, -93.4650448)
Page;2017;15224;(40.7391444, -95.1501747)
Pottawattamie;2017;93386;(41.3366123, -95.5423935)
Pocahontas;2017;6846;(42.7341351, -94.6787466)
O'Brien;2017;13801;(43.0837527, -95.6248784)
Linn;2017;224115;(42.0789478, -91.5989646)
Monona;2017;8740;(42.0516663, -95.9599235)
Osceola;2017;6045;(43.3785704, -95.6236852)
Warren;2017;50163;(41.3343735, -93.5613594)
Butler;2017;14606;(42.7315661, -92.7901934)
Lee;2017;34295;(40.6419764, -91.479264)
Shelby;2017;11628;(41.6850926, -95.3102113)
Sac;2017;9817;(42.3862604, -95.1053946)
Ida;2017;6865;(42.3868747, -95.5134962)
Hancock;2017;10771;(43.0818861, -93.7342723)
Buena Vista;2017;20110;(42.7354936, -95.151149)
Dubuque;2017;97041;(42.468832, -90.8824564)
Plymouth;2017;25220;(42.7378346, -96.2140431)
Ringgold;2017;5034;(40.7352023, -94.2439719)
Mills;2017;15068;(41.0334523, -95.6213267)
Jones;2017;20536;(42.1212397, -91.1314352)
Woodbury;2017;102429;(42.3897169, -96.0447673)
Adams;2017;3686;(41.0289839, -94.6991849)
Montgomery;2017;10137;(41.03014, -95.1563758)
Bremer;2017;24911;(42.7745873, -92.3180548)
Carroll;2017;20320;(42.0362382, -94.8605593)
Van Buren;2017;7157;(40.7532294, -91.9499871)
Howard;2017;9228;(43.3567673, -92.3171989)
Adair;2017;7054;(41.3307464, -94.4709413)
Winneshiek;2017;20201;(43.2906746, -91.8437074)
Dickinson;2017;17199;(43.3779848, -95.1508301)
Mahaska;2017;22235;(41.3352035, -92.6409094)
Cerro Gordo;2017;43006;(43.0815577, -93.2608184)
Mitchell;2017;10631;(43.3564124, -92.7890315)
Wayne;2017;6476;(40.7394702, -93.3273639)
Marshall;2017;40288;(42.0358499, -92.9987706)
Greene;2017;8981;(42.0362394, -94.3968356)
Jefferson;2017;18422;(41.0317596, -91.9488774)
Clay;2017;16170;(43.0825804, -95.1509194)
Des Moines;2017;39417;(40.9231829, -91.1814707)
