County;Year;Month;Volume per capita;County Coordinates
Adair;2012;1;0.0766015;(41.3307464, -94.4709413)
Adams;2012;1;0.047326682;(41.0289839, -94.6991849)
Allamakee;2012;1;0.078053905;(43.2842838, -91.3780923)
Appanoose;2012;1;0.070615457;(40.7431635, -92.8686104)
Audubon;2012;1;0.056098892;(41.6845893, -94.9058222)
Benton;2012;1;0.03552872;(42.0801864, -92.0656912)
Black Hawk;2012;1;0.140082401;(42.4700957, -92.3088197)
Boone;2012;1;0.078833837;(42.0365493, -93.931671)
Bremer;2012;1;0.119937936;(42.7745873, -92.3180548)
Buchanan;2012;1;0.067318792;(42.4707777, -91.8378392)
Buena Vista;2012;1;0.078642642;(42.7354936, -95.151149)
Butler;2012;1;0.027914803;(42.7315661, -92.7901934)
Calhoun;2012;1;0.050682208;(42.3851848, -94.6404136)
Carroll;2012;1;0.155103385;(42.0362382, -94.8605593)
Cass;2012;1;0.094498139;(41.3314876, -94.9278266)
Cedar;2012;1;0.034139586;(41.7723207, -91.1324125)
Cerro Gordo;2012;1;0.161241646;(43.0815577, -93.2608184)
Cherokee;2012;1;0.087927574;(42.7356226, -95.6238055)
Chickasaw;2012;1;0.05746214;(43.0600414, -92.3176637)
Clarke;2012;1;0.073195589;(41.0290323, -93.7851579)
Clay;2012;1;0.121932285;(43.0825804, -95.1509194)
Clayton;2012;1;0.040023401;(42.8447493, -91.3414328)
Clinton;2012;1;0.119391376;(41.8980358, -90.5319724)
Crawford;2012;1;0.069038273;(42.0372125, -95.3819678)
Dallas;2012;1;0.047656423;(41.6848862, -94.0397374)
Davis;2012;1;0.023274377;(40.7476891, -92.4097173)
Decatur;2012;1;0.026225568;(40.7376827, -93.7862815)
Delaware;2012;1;0.058383534;(42.471211, -91.3673502)
Des Moines;2012;1;0.116494456;(40.9231829, -91.1814707)
Dickinson;2012;1;0.327910659;(43.3779848, -95.1508301)
Dubuque;2012;1;0.133054096;(42.468832, -90.8824564)
Emmet;2012;1;0.109638105;(43.3780225, -94.6784803)
Fayette;2012;1;0.084746146;(42.8625919, -91.8443207)
Floyd;2012;1;0.113277629;(43.0599208, -92.7890033)
Franklin;2012;1;0.090821201;(42.7325458, -93.262473)
Fremont;2012;1;0.004461086;(40.7455892, -95.6046765)
Greene;2012;1;0.046643433;(42.0362394, -94.3968356)
Grundy;2012;1;0.054138264;(42.4018651, -92.7914177)
Guthrie;2012;1;0.032359885;(41.6837548, -94.501055)
Hamilton;2012;1;0.061851658;(42.3837722, -93.7068085)
Hancock;2012;1;0.038096431;(43.0818861, -93.7342723)
Hardin;2012;1;0.121740408;(42.3838803, -93.2404025)
Harrison;2012;1;0.054118826;(41.6828528, -95.8169209)
Henry;2012;1;0.057578168;(40.9879383, -91.5445241)
Howard;2012;1;0.081276975;(43.3567673, -92.3171989)
Humboldt;2012;1;0.100594711;(42.7764686, -94.2071868)
Ida;2012;1;0.091150078;(42.3868747, -95.5134962)
Iowa;2012;1;0.145942387;(41.6863229, -92.065524)
Jackson;2012;1;0.09246379;(42.1717426, -90.5742294)
Jasper;2012;1;0.063910032;(41.6860394, -93.053765)
Jefferson;2012;1;0.057563753;(41.0317596, -91.9488774)
Johnson;2012;1;0.125194432;(41.6715511, -91.5880849)
Jones;2012;1;0.120210276;(42.1212397, -91.1314352)
Keokuk;2012;1;0.01911288;(41.336465, -92.1786426)
Kossuth;2012;1;0.156432559;(43.20413, -94.2067199)
Lee;2012;1;0.12471363;(40.6419764, -91.479264)
Linn;2012;1;0.126963058;(42.0789478, -91.5989646)
Louisa;2012;1;0.029787759;(41.2185073, -91.2596184)
Lucas;2012;1;0.035231524;(41.0293738, -93.3277207)
Lyon;2012;1;0.061446798;(43.380497, -96.2102924)
Madison;2012;1;0.039632945;(41.3307142, -94.0155619)
Mahaska;2012;1;0.045308355;(41.3352035, -92.6409094)
Marion;2012;1;0.057508567;(41.3344515, -93.0994367)
Marshall;2012;1;0.082607604;(42.0358499, -92.9987706)
Mills;2012;1;0.036886304;(41.0334523, -95.6213267)
Mitchell;2012;1;0.06009803;(43.3564124, -92.7890315)
Monona;2012;1;0.081460007;(42.0516663, -95.9599235)
Monroe;2012;1;0.04312771;(41.0297826, -92.8689877)
Montgomery;2012;1;0.086627135;(41.03014, -95.1563758)
Muscatine;2012;1;0.094531265;(41.4839221, -91.1127562)
O'Brien;2012;1;0.211829871;(43.0837527, -95.6248784)
Osceola;2012;1;0.056650008;(43.3785704, -95.6236852)
Page;2012;1;0.10961438;(40.7391444, -95.1501747)
Palo Alto;2012;1;0.08432345;(43.0820643, -94.6781371)
Plymouth;2012;1;0.074359842;(42.7378346, -96.2140431)
Pocahontas;2012;1;0.068109508;(42.7341351, -94.6787466)
Polk;2012;1;0.130441389;(41.6855048, -93.5735335)
Pottawattamie;2012;1;0.131258046;(41.3366123, -95.5423935)
Poweshiek;2012;1;0.077567611;(41.6864422, -92.5314684)
Ringgold;2012;1;0.033634917;(40.7352023, -94.2439719)
Sac;2012;1;0.075044779;(42.3862604, -95.1053946)
Scott;2012;1;0.134577098;(41.6370978, -90.6232428)
Shelby;2012;1;0.069597338;(41.6850926, -95.3102113)
Sioux;2012;1;0.04450874;(43.0826174, -96.1778827)
Story;2012;1;0.119509757;(42.0362415, -93.4650448)
Tama;2012;1;0.039838866;(42.0798117, -92.5325425)
Taylor;2012;1;0.029337272;(40.7374324, -94.6964148)
Union;2012;1;0.094893482;(41.0277304, -94.2423792)
Van Buren;2012;1;0.05617801;(40.7532294, -91.9499871)
Wapello;2012;1;0.085075229;(41.0305845, -92.4094499)
Warren;2012;1;0.056789241;(41.3343735, -93.5613594)
Washington;2012;1;0.069224764;(41.335591, -91.7178676)
Wayne;2012;1;0.037121404;(40.7394702, -93.3273639)
Webster;2012;1;0.10256613;(42.4279662, -94.1817881)
Winnebago;2012;1;0.112012276;(43.3775678, -93.7341955)
Winneshiek;2012;1;0.072994724;(43.2906746, -91.8437074)
Woodbury;2012;1;0.096823932;(42.3897169, -96.0447673)
Worth;2012;1;0.033415545;(43.3773984, -93.2608476)
Wright;2012;1;0.074283849;(42.7331189, -93.7351465)
Adair;2012;2;0.090840921;(41.3307464, -94.4709413)
Adams;2012;2;0.045986186;(41.0289839, -94.6991849)
Allamakee;2012;2;0.10595996;(43.2842838, -91.3780923)
Appanoose;2012;2;0.08498662;(40.7431635, -92.8686104)
Audubon;2012;2;0.063553282;(41.6845893, -94.9058222)
Benton;2012;2;0.044962455;(42.0801864, -92.0656912)
Black Hawk;2012;2;0.166003232;(42.4700957, -92.3088197)
Boone;2012;2;0.088226652;(42.0365493, -93.931671)
Bremer;2012;2;0.116761668;(42.7745873, -92.3180548)
Buchanan;2012;2;0.125760549;(42.4707777, -91.8378392)
Buena Vista;2012;2;0.162441397;(42.7354936, -95.151149)
Butler;2012;2;0.024020832;(42.7315661, -92.7901934)
Calhoun;2012;2;0.068604299;(42.3851848, -94.6404136)
Carroll;2012;2;0.11997143;(42.0362382, -94.8605593)
Cass;2012;2;0.11260676;(41.3314876, -94.9278266)
Cedar;2012;2;0.030189204;(41.7723207, -91.1324125)
Cerro Gordo;2012;2;0.199651652;(43.0815577, -93.2608184)
Cherokee;2012;2;0.133801121;(42.7356226, -95.6238055)
Chickasaw;2012;2;0.067681974;(43.0600414, -92.3176637)
Clarke;2012;2;0.072401242;(41.0290323, -93.7851579)
Clay;2012;2;0.150833132;(43.0825804, -95.1509194)
Clayton;2012;2;0.034458435;(42.8447493, -91.3414328)
Clinton;2012;2;0.089071869;(41.8980358, -90.5319724)
Crawford;2012;2;0.135228886;(42.0372125, -95.3819678)
Dallas;2012;2;0.067871592;(41.6848862, -94.0397374)
Davis;2012;2;0.013748708;(40.7476891, -92.4097173)
Decatur;2012;2;0.038210514;(40.7376827, -93.7862815)
Delaware;2012;2;0.079350908;(42.471211, -91.3673502)
Des Moines;2012;2;0.104919944;(40.9231829, -91.1814707)
Dickinson;2012;2;0.213215552;(43.3779848, -95.1508301)
Dubuque;2012;2;0.119497729;(42.468832, -90.8824564)
Emmet;2012;2;0.083815524;(43.3780225, -94.6784803)
Fayette;2012;2;0.105170039;(42.8625919, -91.8443207)
Floyd;2012;2;0.134988507;(43.0599208, -92.7890033)
Franklin;2012;2;0.067283281;(42.7325458, -93.262473)
Fremont;2012;2;0.002609183;(40.7455892, -95.6046765)
Greene;2012;2;0.045193858;(42.0362394, -94.3968356)
Grundy;2012;2;0.037532958;(42.4018651, -92.7914177)
Guthrie;2012;2;0.032293893;(41.6837548, -94.501055)
Hamilton;2012;2;0.084482894;(42.3837722, -93.7068085)
Hancock;2012;2;0.051314071;(43.0818861, -93.7342723)
Hardin;2012;2;0.144272958;(42.3838803, -93.2404025)
Harrison;2012;2;0.057201382;(41.6828528, -95.8169209)
Henry;2012;2;0.080185602;(40.9879383, -91.5445241)
Howard;2012;2;0.167603185;(43.3567673, -92.3171989)
Humboldt;2012;2;0.112039304;(42.7764686, -94.2071868)
Ida;2012;2;0.123436036;(42.3868747, -95.5134962)
Iowa;2012;2;0.182067132;(41.6863229, -92.065524)
Jackson;2012;2;0.086933476;(42.1717426, -90.5742294)
Jasper;2012;2;0.071343774;(41.6860394, -93.053765)
Jefferson;2012;2;0.058146965;(41.0317596, -91.9488774)
Johnson;2012;2;0.137469934;(41.6715511, -91.5880849)
Jones;2012;2;0.09416521;(42.1212397, -91.1314352)
Keokuk;2012;2;0.025679486;(41.336465, -92.1786426)
Kossuth;2012;2;0.226579904;(43.20413, -94.2067199)
Lee;2012;2;0.124387155;(40.6419764, -91.479264)
Linn;2012;2;0.152010524;(42.0789478, -91.5989646)
Louisa;2012;2;0.041397622;(41.2185073, -91.2596184)
Lucas;2012;2;0.04484375;(41.0293738, -93.3277207)
Lyon;2012;2;0.080906694;(43.380497, -96.2102924)
Madison;2012;2;0.040305666;(41.3307142, -94.0155619)
Mahaska;2012;2;0.071989461;(41.3352035, -92.6409094)
Marion;2012;2;0.088679733;(41.3344515, -93.0994367)
Marshall;2012;2;0.108436121;(42.0358499, -92.9987706)
Mills;2012;2;0.048017212;(41.0334523, -95.6213267)
Mitchell;2012;2;0.071845766;(43.3564124, -92.7890315)
Monona;2012;2;0.09519199;(42.0516663, -95.9599235)
Monroe;2012;2;0.05586523;(41.0297826, -92.8689877)
Montgomery;2012;2;0.084166034;(41.03014, -95.1563758)
Muscatine;2012;2;0.083491367;(41.4839221, -91.1127562)
O'Brien;2012;2;0.168383496;(43.0837527, -95.6248784)
Osceola;2012;2;0.074741254;(43.3785704, -95.6236852)
Page;2012;2;0.090838804;(40.7391444, -95.1501747)
Palo Alto;2012;2;0.130569272;(43.0820643, -94.6781371)
Plymouth;2012;2;0.076036983;(42.7378346, -96.2140431)
Pocahontas;2012;2;0.145013303;(42.7341351, -94.6787466)
Polk;2012;2;0.16433732;(41.6855048, -93.5735335)
Pottawattamie;2012;2;0.13509106;(41.3366123, -95.5423935)
Poweshiek;2012;2;0.095316408;(41.6864422, -92.5314684)
Ringgold;2012;2;0.045070591;(40.7352023, -94.2439719)
Sac;2012;2;0.101088476;(42.3862604, -95.1053946)
Scott;2012;2;0.13718428;(41.6370978, -90.6232428)
Shelby;2012;2;0.08496589;(41.6850926, -95.3102113)
Sioux;2012;2;0.057048061;(43.0826174, -96.1778827)
Story;2012;2;0.133301973;(42.0362415, -93.4650448)
Tama;2012;2;0.04897663;(42.0798117, -92.5325425)
Taylor;2012;2;0.023252954;(40.7374324, -94.6964148)
Union;2012;2;0.117434817;(41.0277304, -94.2423792)
Van Buren;2012;2;0.034156263;(40.7532294, -91.9499871)
Wapello;2012;2;0.135557657;(41.0305845, -92.4094499)
Warren;2012;2;0.060666766;(41.3343735, -93.5613594)
Washington;2012;2;0.094437748;(41.335591, -91.7178676)
Wayne;2012;2;0.035583307;(40.7394702, -93.3273639)
Webster;2012;2;0.121830997;(42.4279662, -94.1817881)
Winnebago;2012;2;0.097289896;(43.3775678, -93.7341955)
Winneshiek;2012;2;0.096038409;(43.2906746, -91.8437074)
Woodbury;2012;2;0.114569948;(42.3897169, -96.0447673)
Worth;2012;2;0.032386348;(43.3773984, -93.2608476)
Wright;2012;2;0.084000461;(42.7331189, -93.7351465)
Adair;2012;3;0.077726299;(41.3307464, -94.4709413)
Adams;2012;3;0.040422103;(41.0289839, -94.6991849)
Allamakee;2012;3;0.086994907;(43.2842838, -91.3780923)
Appanoose;2012;3;0.06270266;(40.7431635, -92.8686104)
Audubon;2012;3;0.033091219;(41.6845893, -94.9058222)
Benton;2012;3;0.042806936;(42.0801864, -92.0656912)
Black Hawk;2012;3;0.165226262;(42.4700957, -92.3088197)
Boone;2012;3;0.078699162;(42.0365493, -93.931671)
Bremer;2012;3;0.085464048;(42.7745873, -92.3180548)
Buchanan;2012;3;0.084736642;(42.4707777, -91.8378392)
Buena Vista;2012;3;0.117106313;(42.7354936, -95.151149)
Butler;2012;3;0.024607064;(42.7315661, -92.7901934)
Calhoun;2012;3;0.060377435;(42.3851848, -94.6404136)
Carroll;2012;3;0.157492615;(42.0362382, -94.8605593)
Cass;2012;3;0.118856851;(41.3314876, -94.9278266)
Cedar;2012;3;0.041323337;(41.7723207, -91.1324125)
Cerro Gordo;2012;3;0.189584821;(43.0815577, -93.2608184)
Cherokee;2012;3;0.081457724;(42.7356226, -95.6238055)
